Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Fri Oct 12 21:18:50 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCOne: Introducing K-pop band @BTS_twt! (If you can hear them above the screaming... 😆 ) 

#TheGNShow | Tonight at 10.35pm | BBC One h…",73
0.0,Fri Oct 12 19:31:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🤔😂 @RobBrydon, @realdmitchell and @leemack are back! 

Would I Lie to You? | 9:30pm | @BBCOne |… https://t.co/4R2pcPyzCl",74
-0.6124,Fri Oct 12 18:12:03 +0000 2018,0.75,0.25,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Forget the fake and the filtered... This Welsh artist posts illustrations of REAL women on Insta. https://t.co/oTwU6WlCo3,75
0.0,Fri Oct 12 16:05:08 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Deep-fried Mars bars are wayyyy more complicated than you think! 😲 
#MonkmanAndSeagull https://t.co/ySvvRvVYYy",76
0.7579,Fri Oct 12 15:44:40 +0000 2018,0.772,0.0,0.228,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCOne: .@HarryConnickJR is such a big fan of @BTS_twt that he had to get a nearly selfie. (We love that @WhoopiGoldberg made it in to…,77
0.0,Fri Oct 12 15:25:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Leaving the office on a Friday like... 
#FridayFeeling https://t.co/PURrd1W0yz",78
-0.7096,Fri Oct 12 14:43:35 +0000 2018,0.789,0.211,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCWomansHour: 💛 Why I’m talking about child loss 💛 Elle Wright’s son Teddy died at 3 days old. She found people didn’t know what to sa…,79
0.6114,Fri Oct 12 14:08:35 +0000 2018,0.826,0.0,0.174,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCOne: That time @RealHughJackman impersonated Mary Berry - complete with ALL the innuendo.

Happy Birthday Hugh Jackman! 50 years old…",80
0.743,Fri Oct 12 13:56:43 +0000 2018,0.751,0.0,0.249,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Princess Eugenie opted for a wedding dress that showed her scar, saying she hoped it would honour those who had hel… https://t.co/2o5nW8ZSQp",81
-0.3818,Fri Oct 12 13:04:05 +0000 2018,0.89,0.11,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🐍 An elderly woman had the ""shock of her life"" when she found a 3ft (90cm) snake in her oven in Stockport.
👉… https://t.co/nELdK2acl6",82
0.0,Fri Oct 12 12:04:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",When you've got your sights set on your optician 😍 https://t.co/7qi3Xt61Qm,83
0.5994,Fri Oct 12 11:42:59 +0000 2018,0.738,0.0,0.262,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCNews: Congratulations Princess Eugenie and Jack Brooksbank  #RoyalWedding 👰🤵🎊

https://t.co/8V2vWFJ6RP https://t.co/lH61G1Kiod",84
0.0,Fri Oct 12 11:03:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A dad’s campaign for changing tables in men's loos has gone viral, striking a chord with fathers across the world.… https://t.co/RwStjXbZ85",85
0.636,Fri Oct 12 10:56:18 +0000 2018,0.802,0.0,0.198,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCLookNorth: Katie's guide dog Domino loved her so much he learnt how to understand sign language! 🐶 https://t.co/tCknSl8mIc,86
0.0,Fri Oct 12 10:49:13 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The wedding of Princess Eugenie and Jack Brooksbank is taking place at St George's Chapel.

Take a look at some of… https://t.co/C9nc3FIlPN",87
0.7351,Fri Oct 12 10:47:24 +0000 2018,0.794,0.0,0.206,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcthree: When you've got a #RoyalWedding at 11 but Harry Potter has to catch you to win a Quidditch match at 2 https://t.co/U6uKx3dgct,88
0.0,Fri Oct 12 10:12:36 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCNews: Princess Eugenie arrives at St George's Chapel, Windsor for her wedding to Jack Brooksbank #RoyalWedding

For live coverage -…",89
0.2263,Fri Oct 12 10:05:03 +0000 2018,0.806,0.081,0.114,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCAfrica: ""A Muslim girl wouldn't do this."" 

After years of hiding her boxing from family &amp; friends, Ramla Ali is preparing to compet…",90
0.4767,Fri Oct 12 10:01:42 +0000 2018,0.881,0.0,0.119,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCNews: Cheers for the Queen and Duke of Edinburgh arriving at St George's Chapel for the marriage of Princess Eugenie and Jack Brooks…,91
0.4003,Fri Oct 12 09:54:37 +0000 2018,0.881,0.0,0.119,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😁 @BTS_twt played their first UK shows this week. @BBCNews met their fans... then they got to meet the band!
#BTS… https://t.co/vfDzPaepgh",92
0.1027,Fri Oct 12 08:36:47 +0000 2018,0.909,0.0,0.091,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcpress: 🎬 Shooting has begun: BBC acquires second series of spy thriller #KillingEve - https://t.co/am3vpesHdx https://t.co/FIgyNCDo2W,93
0.0,Fri Oct 12 08:02:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Meet the 94-year-old who writes a sex advice column in Mumbai. https://t.co/EnAcl1KMq9,94
-0.5423,Fri Oct 12 07:09:07 +0000 2018,0.857,0.143,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","One in three girls in the UK has been sexually harassed in public when wearing school uniform, a new report has sug… https://t.co/lnYYaDJkEm",95
